char,division,code,division_tw,code_tw,region
𧫴,言艹口龶,BSLH,,,CJK-B
𧫵,言丷夫卄,BQOS,,,CJK-B
𧫶,言山人冊,BURC,,,CJK-B
𧫷,木口欠言,ALXB,,,CJK-B
𧫸,言竹皮,BGBp,,,CJK-B
𧫹,⺈厂八マ,XVKB,⺈厂儿マ,XVWB,CJK-B
𧫺,言冫欠皿,BIXU,言二欠皿,BIXU,CJK-B
𧫻,言木口辶,BALO,,,CJK-B
𧫼,言麻,BMaⓨ,,,CJK-B
𧫽,言广廿火,BMSI,,,CJK-B
𧫾,言小尤,BAIF,,,CJK-B
𧫿,言彐工寸,BBPH,,,CJK-B
𧬀,言厶厶糸,BNNO,,,CJK-B
𧬁,言自冫十,BQIG,言自二十,BQIG,CJK-B
𧬂,言力口貝,BSLJ,,,CJK-B
𧬃,言止止止,BPPP,,,CJK-B
𧬄,言身矢,BQJi,,,CJK-B
𧬅,言尸耂日,BBHJ,,,CJK-B
𧬆,言羊䒑口,BQQL,,,CJK-B
𧬇,言士冖䒑,BHXQ,,,CJK-B
𧬈,言合习习,BRVV,,,CJK-B
𧬉,日屮凵言,JWWB,,,CJK-B
𧬊,其斤言,UDBy,,,CJK-B
𧬋,言癶弓殳,BBBE,,,CJK-B
𧬌,言口口山,BLLU,,,CJK-B
𧬍,言亠丷口,BAQL,,,CJK-B
𧬎,言厂禾禾,BVMM,,,CJK-B
𧬏,言艹犬卄,BSHS,,,CJK-B
𧬐,言而而,BSSr,,,CJK-B
𧬑,亻人人言,ERRB,,,CJK-B
𧬒,言日罒勹,BJUW,,,CJK-B
𧬓,大䒑十言,OQGB,,,CJK-B
𧬔,言卄二木,BSIA,,,CJK-B
𧬕,言古辛,BJKx,,,CJK-B
𧬖,言艹癶文,BSBT,,,CJK-B
𧬗,言其木,BUAm,,,CJK-B
𧬘,言門日,BDJr,,,CJK-B
𧬙,言宀一田,BIFV,,,CJK-B
𧬚,言由方阝,BDTP,,,CJK-B
𧬛,言⺈口豕,BXLT,,,CJK-B
𧬜,言其斤,BUDj,,,CJK-B
𧬝,言艹癶夊,BSBT,,,CJK-B
𧬞,言雨二厶,BCIN,,,CJK-B
𧬟,言止匕十,BPNG,言止匕丿,BPNG,CJK-B
𧬠,言禾人水,BMRN,,,CJK-B
𧬡,言丿人一,BGRF,,,CJK-B
𧬢,言人人日,BRRJ,,,CJK-B
𧬣,立戈日言,KKJB,,,CJK-B
𧬤,言立里,BKVl,,,CJK-B
𧬥,言耂日阝,BHJP,,,CJK-B
𧬦,言⺈彐亅,BXBY,言爪彐亅,BUBY,CJK-B
𧬧,言艹癶大,BSBO,,,CJK-B
𧬨,言止戊小,BPKI,,,CJK-B
𧬩,言一大一,BFOF,,,CJK-B
𧬪,言冖車辶,BXDO,,,CJK-B
𧬫,言䒑月灬,BQWI,,,CJK-B
𧬬,言业羊八,BIQK,,,CJK-B
𧬭,言一口丨,BFLU,,,CJK-B
𧬮,言目目大,BJJO,,,CJK-B
𧬯,言宀巳,BISO,,,CJK-B
𧬰,丿丶言,KGKB,,,CJK-B
𧬱,言門丁口,BDJL,,,CJK-B
𧬲,言尸水凵,BBNW,言尸丨凵,BBUW,CJK-B
𧬳,言罒大十,BUOG,,,CJK-B
𧬴,言囗月,BWSW,,,CJK-B
𧬵,言穴亠十,BIAG,,,CJK-B
𧬶,言乛彡彡,BYCC,,,CJK-B
𧬷,言虍豕,BUTs,,,CJK-B
𧬸,言丷夫言,BQOB,,,CJK-B
