char,division,code,division_tw,code_tw,region
𥒆,石䒑大,uqt,石䒑大,uqt,CJK-B
𥒇,石宀女,uho,石宀女,uho,CJK-B
𥒈,石宀七,uha,石宀七,uha,CJK-B
𥒉,石习习,uqq,石习习,uqq,CJK-B
𥒊,石夕口,uul,石夕口,uul,CJK-B
𥒋,石缶,uqo,石缶,uqo,CJK-B
𥒌,石丿皿,uwc,石丿皿,uwc,CJK-B
𥒍,石⺈巴,uya,石⺈巴,uya,CJK-B
𥒎,石二戈,upp,石二戈,upp,CJK-B
𥒏,石日乂,ujc,石日乂,ujc,CJK-B
𥒐,土土石,ggu,土土石,ggu,CJK-B
𥒑,石一生,ufe,石一生,ufe,CJK-B
𥒒,石土,usg,石土,usg,CJK-B
𥒓,石至,uhz,石至,uhz,CJK-B
𥒔,石止廴,uty,石止廴,uty,CJK-B
𥒕,石自,umw,石自,umw,CJK-B
𥒖,石⺁口,unl,石⺁口,unl,CJK-B
𥒗,石爪厶,uvk,石爪厶,uvk,CJK-B
𥒘,石勹日,uhj,石勹日,uhj,CJK-B
𥒙,石犭丶,uxo,石犭丶,uxo,CJK-B
𥒚,石勹凵,uhx,石勹凵,uhx,CJK-B
𥒛,石{齊右}厶,uik,石{齊右}厶,uik,CJK-B
𥒜,石二水,upv,石二水,upv,CJK-B
𥒝,石亠儿,uoq,石亠儿,uoq,CJK-B
𥒞,石羊,uug,石羊,uug,CJK-B
𥒟,氵巳石,iau,氵巳石,iau,CJK-B
𥒠,彐土石,xgu,彐土石,xgu,CJK-B
𥒡,石乛一,uvf,石乛一,uvf,CJK-B
𥒢,石刀刀,udd,石刀刀,udd,CJK-B
𥒣,石又厶,ubk,石又厶,ubk,CJK-B
𥒤,石巛山,upj,石巛山,upj,CJK-B
𥒥,石夕夕,uuu,石夕夕,uuu,CJK-B
𥒦,石土也,ugs,石土也,ugs,CJK-B
𥒧,石又龰,ubt,石又龰,ubt,CJK-B
𥒨,石人丶,uro,石人丶,uro,CJK-B
𥒩,石〢二,uzp,石〢二,uzp,CJK-B
𥒪,石宀牛,uht,石宀牛,uht,CJK-B
𥒫,石爪子,uvk,石爪子,uvk,CJK-B
𥒬,石宀木,uhf,石宀木,uhf,CJK-B
𥒭,石足,ubn,石足,ubn,CJK-B
𥒮,石尸毛,ubx,石尸毛,ubx,CJK-B
𥒯,木石土,fug,木石土,fug,CJK-B
𥒰,石甫,umt,石甫,umt,CJK-B
𥒱,石一彡,ufs,石一彡,ufs,CJK-B
𥒲,石厶矢,ukq,石厶矢,ukq,CJK-B
𥒳,宀石几,huq,宀石几,huq,CJK-B
𥒴,石艹乚,use,石艹乚,use,CJK-B
𥒵,石口巴,ula,石口巴,ula,CJK-B
𥒶,石丿糸,uwy,石丿糸,uwy,CJK-B
𥒷,石丰阝,uzc,石丰阝,uzc,CJK-B
𥒸,石一丶,ufo,石一丶,ufo,CJK-B
𥒹,石广丶,upo,石广丶,upo,CJK-B
𥒺,石士心,ugg,石士心,ugg,CJK-B
𥒻,石口刂,ulx,石口刂,ulx,CJK-B
𥒼,石止小,utk,石止小,utk,CJK-B
𥒽,工乛石,pvu,工乛石,pvu,CJK-B
𥒾,石一口,ufl,石一口,ufl,CJK-B
𥒿,石止勹,uth,石止勹,uth,CJK-B
𥓀,石目匕,umi,石目匕,umi,CJK-B
𥓁,石夊,ure,石夊,ure,CJK-B
𥓂,石人口,url,石人口,url,CJK-B
𥓃,石夊木,uef,石夊木,uef,CJK-B
𥓄,石里,uni,石里,uni,CJK-B
𥓅,石口,ulr,石口,ulr,CJK-B
𥓆,石又石,ubu,石又石,ubu,CJK-B
𥓇,夕止石,utu,夕止石,utu,CJK-B
𥓈,石十十,udd,石十十,udd,CJK-B
𥓉,石戊乛,upv,石戊乛,upv,CJK-B
𥓊,木斤石,fnu,木斤石,fnu,CJK-B
𥓋,石臼儿,uhq,石臼儿,uhq,CJK-B
𥓌,石羊乚,uue,石羊儿,uuq,CJK-B
𥓍,上小石,kku,上小石,kku,CJK-B
𥓎,石户犬,uqx,石戶犬,uqx,CJK-B
𥓏,石彐水,uxv,石彐水,uxv,CJK-B
𥓐,石一龰,uft,石一龰,uft,CJK-B
𥓑,石乂刂,ucx,石乂刂,ucx,CJK-B
𥓒,石⺈臼,uyh,石⺈臼,uyh,CJK-B
𥓓,石田十,und,石田十,und,CJK-B
𥓔,石禾女,uvo,石禾女,uvo,CJK-B
